# T03 PARKED per-point records -- PROVISIONAL, pending T27 reload + target-row generation.
# One row per known degree-1 rational point on an UNMAPPED AL-quotient curve.
# When the curve row exists, set curve_label from the join key and copy_from the
# shimcurve_points columns (degree=1, residue_field=1.1.1.1, coordinates as given).
# coordinates jsonb = {"<model_type>":["a:b:c"]}; model_type = T02 model whose
# number_variables == coordinate arity.
old_label|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|arity|model_type|degree|residue_field|coordinates
22.3-[1,6,22,33]|22|66|1|1|1,6,22,33|1|3|5|1|1.1.1.1|{"5":["6:-20:1"]}
22.3-[1,6,22,33]|22|66|1|1|1,6,22,33|1|3|5|1|1.1.1.1|{"5":["-9/4:5/8:1"]}
22.3-[1,6,22,33]|22|66|1|1|1,6,22,33|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
22.3-[1,6]|22|66|1|1|1,6|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
22.3-[1,6]|22|66|1|1|1,6|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
26.1-[1,13]|26|26|1|1|1,13|1|3|5|1|1.1.1.1|{"5":["4:-9:1"]}
26.1-[1,13]|26|26|1|1|1,13|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
26.1-[1,13]|26|26|1|1|1,13|1|3|5|1|1.1.1.1|{"5":["4:4:1"]}
26.1-[1,2]|26|26|1|1|1,2|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
26.3-[1,2,3,6]|26|78|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["3:-6:1"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["-1:2:1"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["1:-2:1"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["1:0:1"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["3:2:1"]}
26.3-[1,2,39,78]|26|78|1|1|1,2,39,78|1|3|5|1|1.1.1.1|{"5":["-1:-2:1"]}
26.3-[1,3,13,39]|26|78|1|1|1,3,13,39|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
26.3-[1,3,13,39]|26|78|1|1|1,3,13,39|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
26.3-[1,3,13,39]|26|78|1|1|1,3,13,39|2|3|5|1|1.1.1.1|{"5":["2:-16:1"]}
26.3-[1,3,13,39]|26|78|1|1|1,3,13,39|2|3|5|1|1.1.1.1|{"5":["3:-132:8"]}
