old_label,D,M,discB,discO,deg_mu,level,al_set,al_gens,n_al,is_trivial_quotient,is_full_star,hall_divisors_DM,al_all_hall,has_identity_1,in_models,model_dup_count,in_points,pt_genus,pt_count,pt_M,coords
"10.19-[1,2]",10,19,10,190,1,1,"1,2",2,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,2,0,19,{}
"10.19-[1,5]",10,19,10,190,1,1,"1,5",5,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,3,0,19,{}
"10.19-[1,10]",10,19,10,190,1,1,"1,10",10,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,2,0,19,{}
"10.19-[1,19]",10,19,10,190,1,1,"1,19",19,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,3,0,19,{}
"10.19-[1,38]",10,19,10,190,1,1,"1,38",38,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,0,0,19,[]
"10.19-[1,95]",10,19,10,190,1,1,"1,95",95,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,3,2,19,"{[ 1, 0, 0 ],[ 1, -1, 0 ]}"
"10.19-[1,190]",10,19,10,190,1,1,"1,190",190,2,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,2,0,19,[]
"10.19-[1,2,5,10]",10,19,10,190,1,1,"1,2,5,10","2,5,10",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,1,1,19,"{[ 0, 1, 0 ]}"
"10.19-[1,2,19,38]",10,19,10,190,1,1,"1,2,19,38","2,19,38",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,0,infinite,19,[]
"10.19-[1,2,95,190]",10,19,10,190,1,1,"1,2,95,190","2,95,190",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,1,2,19,NA
"10.19-[1,5,19,95]",10,19,10,190,1,1,"1,5,19,95","5,19,95",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,2,3,19,"{[ 1, 0, 0 ],[ 1, -1, 1 ],[ 3, -132, 8 ]}"
"10.19-[1,5,38,190]",10,19,10,190,1,1,"1,5,38,190","5,38,190",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,0,infinite,19,[]
"10.19-[1,10,19,190]",10,19,10,190,1,1,"1,10,19,190","10,19,190",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,1,2,19,NA
"10.19-[1,10,38,95]",10,19,10,190,1,1,"1,10,38,95","10,38,95",4,False,False,"1,2,5,10,19,38,95,190",True,True,True,1,True,0,infinite,19,[]
"10.19-[1,2,5,10,19,38,95,190]",10,19,10,190,1,1,"1,2,5,10,19,38,95,190","2,5,10,19,38,95,190",8,False,True,"1,2,5,10,19,38,95,190",True,True,True,1,True,0,infinite,19,[]
10.23-[1],10,23,10,230,1,1,1,,1,True,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,9,0,23,{}
"10.23-[1,2]",10,23,10,230,1,1,"1,2",2,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,5,0,23,{}
"10.23-[1,5]",10,23,10,230,1,1,"1,5",5,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,4,0,23,{}
"10.23-[1,10]",10,23,10,230,1,1,"1,10",10,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,4,0,23,{}
"10.23-[1,23]",10,23,10,230,1,1,"1,23",23,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,5,0,23,{}
"10.23-[1,46]",10,23,10,230,1,1,"1,46",46,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,5,0,23,{}
"10.23-[1,115]",10,23,10,230,1,1,"1,115",115,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,4,0,23,{}
"10.23-[1,230]",10,23,10,230,1,1,"1,230",230,2,False,False,"1,2,5,10,23,46,115,230",True,True,True,1,True,0,infinite,23,[]
