# T03 PARKED gps point-count updates -- PROVISIONAL, pending T27 reload + target-row generation.
# Per-curve num_known_degree1_points / pointless for UNMAPPED AL-quotient curves.
# coords_na=t: the count is known but the source stored coordinates as 'NA' (no point rows).
old_label|park_reason|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|num_known_degree1_points|num_known_degree1_noncm_points|pointless|coords_na
58.1-[1,29]|PENDING_GENERATION|58|58|1|1|1,29|0|\N|\N|f|f
58.1-[1,2]|PENDING_GENERATION|58|58|1|1|1,2|1|1|\N|f|f
58.1-[1,58]|PENDING_GENERATION|58|58|1|1|1,58|1|2|\N|f|t
6.17-[1,102]|PENDING_GENERATION|6|102|1|1|1,102|1|2|\N|f|t
6.17-[1,17]|PENDING_GENERATION|6|102|1|1|1,17|2|0|0|\N|f
6.17-[1,2,17,34]|PENDING_GENERATION|6|102|1|1|1,2,17,34|0|\N|\N|f|f
6.17-[1,2,3,6,17,34,51,102]|PENDING_GENERATION|6|102|1|1|1,2,3,6,17,34,51,102|0|\N|\N|f|f
6.17-[1,2,3,6]|PENDING_GENERATION|6|102|1|1|1,2,3,6|1|2|\N|f|f
6.17-[1,2,51,102]|PENDING_GENERATION|6|102|1|1|1,2,51,102|0|\N|\N|f|f
6.17-[1,2]|PENDING_GENERATION|6|102|1|1|1,2|1|0|0|\N|f
6.17-[1,3,17,51]|PENDING_GENERATION|6|102|1|1|1,3,17,51|1|2|\N|f|f
6.17-[1,3,34,102]|PENDING_GENERATION|6|102|1|1|1,3,34,102|0|\N|\N|f|f
6.17-[1,34]|PENDING_GENERATION|6|102|1|1|1,34|0|0|0|\N|f
