



1.47.g|{y^2=x^3+21*x+21,y^2=x^3+38*x+2,y^2=x^3+30*x+30,y^2=x^3+40*x+12,y^2=x^3+32*x+32,y^2=x^3+37*x+37}
1.47.ai|{y^2=x^3+34*x+34,y^2=x^3+9*x+9,y^2=x^3+43*x+43,y^2=x^3+18*x+43,y^2=x^3+10*x+10,y^2=x^3+33*x+33}
1.47.ad|{y^2=x^3+15*x+15,y^2=x^3+28*x+28,y^2=x^3+30*x+9,y^2=x^3+36*x+39,y^2=x^3+25*x+25}
1.47.k|{y^2=x^3+23*x+23,y^2=x^3+34*x+29}
1.47.am|{y^2=x^3+26*x+26,y^2=x^3+25*x+31,y^2=x^3+22*x+22,y^2=x^3+6*x+6}
1.47.d|{y^2=x^3+46*x+42,y^2=x^3+14*x+23,y^2=x^3+24*x+24,y^2=x^3+20*x+20,y^2=x^3+42*x+22}
1.47.h|{y^2=x^3+2*x+2,y^2=x^3+24*x+26,y^2=x^3+44*x+32}
1.47.aj|{y^2=x^3+31*x+31,y^2=x^3+10*x+3,y^2=x^3+22*x+16}
1.47.ae|{y^2=x^3+44*x+44,y^2=x^3+2*x+10,y^2=x^3+13*x+13,y^2=x^3+35*x+34}
1.47.a|{y^2=x^3+14*x+14,y^2=x^3+17*x+38,y^2=x^3+27*x+27,y^2=x^3+6*x+30,y^2=x^3+21*x+11,y^2=x^3+5,y^2=x^3+1,y^2=x^3+4*x+4,y^2=x^3+5*x,y^2=x^3+x}
1.47.l|{y^2=x^3+3*x+3}
1.47.an|{y^2=x^3+18*x+18}
1.47.e|{y^2=x^3+39*x+39,y^2=x^3+43*x+27,y^2=x^3+17*x+17,y^2=x^3+19*x+1}
1.47.ab|{y^2=x^3+40*x+40,y^2=x^3+7*x+35}
1.47.i|{y^2=x^3+37*x+44,y^2=x^3+26*x+36,y^2=x^3+12*x+12,y^2=x^3+41*x+17,y^2=x^3+4*x+20,y^2=x^3+15*x+28}
1.47.ak|{y^2=x^3+7*x+7,y^2=x^3+11*x+8}
1.47.b|{y^2=x^3+13*x+18,y^2=x^3+36*x+36}
1.47.af|{y^2=x^3+35*x+35}
1.47.m|{y^2=x^3+39*x+7,y^2=x^3+x+1,y^2=x^3+9*x+45,y^2=x^3+33*x+24}
1.47.f|{y^2=x^3+29*x+4}
1.47.ah|{y^2=x^3+16*x+16,y^2=x^3+45*x+45,y^2=x^3+3*x+15}
1.47.ac|{y^2=x^3+12*x+13,y^2=x^3+20*x+6,y^2=x^3+42*x+42,y^2=x^3+5*x+25}
1.47.j|{y^2=x^3+46*x+46,y^2=x^3+38*x+38,y^2=x^3+23*x+21}
1.47.al|{y^2=x^3+28*x+46}


(g, q)= (1,49)
1.49.b|{y^2=x^3+a^31*x+a^31,y^2=x^3+a^6*x+a^7,y^2=x^3+a^30*x+a^31,y^2=x^3+a^25*x+a^25}
1.49.an|{y^2=x^3+a^42*x+a^43,y^2=x^3+a}
1.49.m|{y^2=x^3+a^6*x+a^6,y^2=x^3+a^42*x+a^42}
1.49.ai|{y^2=x^3+a^3*x+a^4,y^2=x^3+a^34*x+a^34,y^2=x^3+a^9*x+a^10,y^2=x^3+a^46*x+a^46}
1.49.ad|{y^2=x^3+2*x+a^17,y^2=x^3+a^4*x+a^5}
1.49.ao|{y^2=x^3+a^2*x}
